Close,Date
14,1
18,2
21,3
20,4
22,5
20,6
20,7
20,8
13,9
11,10
64,11
53,12
26,13
10,14
28,15
61,16
12,17
33,18
74,19
22,20
19,21
74,22
60,23
46,24
16,25
16,26
19,27
16,28
18,29
16,30
15,31
14,32
43,33
70,34
67,35
68,36
95,37
66,38
88,39
67,40
92,41
51,42
49,43
16,44
28,45
62,46
18,47
57,48
18,49
18,50
17,51
16,52
15,53
15,54
14,55
14,56
67,57
68,58
66,59
69,60
71,61
56,62
33,63
70,64
102,65
23,66
67,67
47,68
29,69
74,70
56,71
56,72
20,73
24,74
22,75
20,76
22,77
17,78
20,79
18,80
61,81
70,82
90,83
78,84
69,85
77,86
36,87
45,88
49,89
100,90
81,91
41,92
27,93
63,94
55,95
46,96
32,97
58,98
27,99
73,100
74,101
71,102
56,103
55,104
47,105
108,106
76,107
18,108
15,109
63,110
67,111
32,112
66,113
66,114
32,115
61,116
74,117
77,118
79,119
68,120
22,121
24,122
23,123
78,124
38,125
63,126
76,127
50,128
13,129
60,130
66,131
90,132
66,133
67,134
95,135
70,136
68,137
91,138
32,139
56,140
73,141
50,142
49,143
65,144
20,145
18,146
20,147
18,148
18,149
20,150
15,151
15,152
61,153
67,154
67,155
67,156
78,157
58,158
18,159
70,160
70,161
70,162
100,163
76,164
75,165
52,166
58,167
61,168
24,169
22,170
22,171
20,172
22,173
22,174
22,175
21,176
59,177
61,178
79,179
66,180
67,181
50,182
12,183
54,184
95,185
73,186
22,187
59,188
76,189
56,190
66,191
52,192
20,193
23,194
20,195
22,196
22,197
22,198
22,199
20,200
64,201
71,202
95,203
67,204
67,205
68,206
81,207
46,208
13,209
69,210
103,211
78,212
58,213
37,214
74,215
53,216
22,217
22,218
23,219
22,220
22,221
22,222
24,223
20,224
48,225
78,226
74,227
97,228
74,229
72,230
94,231
74,232
67,233
71,234
18,235
62,236
71,237
60,238
18,239
65,240
71,241
67,242
16,243
66,244
78,245
30,246
40,247
69,248
40,249
133,250
77,251
42,252
74,253
71,254
64,255
44,256
69,257
101,258
74,259
72,260
76,261
76,262
74,263
56,264
20,265
23,266
20,267
20,268
20,269
22,270
22,271
22,272
67,273
100,274
67,275
66,276
67,277
87,278
65,279
71,280
92,281
74,282
35,283
73,284
76,285
37,286
76,287
64,288
21,289
70,290
61,291
18,292
35,293
70,294
71,295
58,296
12,297
81,298
68,299
66,300
68,301
79,302
22,303
37,304
70,305
98,306
40,307
74,308
72,309
41,310
72,311
45,312
20,313
18,314
20,315
20,316
20,317
20,318
18,319
20,320
52,321
74,322
78,323
101,324
73,325
73,326
98,327
71,328
90,329
84,330
76,331
74,332
76,333
76,334
51,335
22,336
20,337
22,338
23,339
22,340
22,341
20,342
24,343
20,344
58,345
74,346
93,347
78,348
75,349
74,350
102,351
73,352
103,353
73,354
31,355
20,356
70,357
75,358
72,359
60,360
22,361
22,362
22,363
22,364
20,365
23,366
20,367
22,368
37,369
66,370
65,371
66,372
65,373
66,374
119,375
74,376
67,377
83,378
75,379
62,380
18,381
49,382
74,383
28,384
26,385
27,386
41,387
38,388
44,389
80,390
40,391
38,392
68,393
67,394
68,395
67,396
78,397
61,398
31,399
68,400
64,401
78,402
74,403
60,404
24,405
36,406
74,407
37,408
24,409
70,410
78,411
35,412
59,413
76,414
32,415
57,416
13,417
19,418
64,419
98,420
72,421
79,422
66,423
47,424
13,425
39,426
75,427
97,428
72,429
74,430
46,431
35,432
20,433
24,434
20,435
20,436
20,437
22,438
18,439
20,440
59,441
107,442
76,443
68,444
74,445
73,446
58,447
50,448
66,449
114,450
74,451
74,452
74,453
77,454
76,455
57,456
24,457
67,458
40,459
24,460
65,461
80,462
38,463
22,464
57,465
64,466
73,467
75,468
74,469
72,470
52,471
57,472
68,473
113,474
92,475
78,476
79,477
68,478
62,479
65,480
22,481
37,482
72,483
74,484
71,485
27,486
16,487
63,488
67,489
66,490
68,491
75,492
67,493
40,494
26,495
69,496
67,497
74,498
80,499
72,500
74,501
76,502
74,503
47,504
20,505
22,506
20,507
20,508
20,509
22,510
22,511
20,512
57,513
67,514
83,515
66,516
68,517
67,518
23,519
67,520
66,521
97,522
49,523
38,524
74,525
74,526
74,527
56,528
20,529
20,530
22,531
22,532
20,533
18,534
20,535
20,536
49,537
93,538
74,539
96,540
67,541
65,542
66,543
66,544
67,545
70,546
96,547
72,548
72,549
74,550
63,551
55,552
22,553
48,554
72,555
70,556
73,557
71,558
45,559
46,560
11,561
54,562
65,563
97,564
65,565
65,566
66,567
13,568
11,569
91,570
41,571
18,572
17,573
16,574
18,575
18,576
25,577
24,578
20,579
22,580
22,581
20,582
20,583
11,584
10,585
9,586
34,587
57,588
53,589
37,590
29,591
60,592
58,593
58,594
61,595
28,596
55,597
78,598
80,599
78,600
40,601
45,602
74,603
29,604
70,605
85,606
40,607
